term;description;casesensitive;translatable;forbidden;tags;en-US;en-US_description;en-GB;en-GB_description
About;;no;yes;no;;About;;About;
About my team;;no;yes;no;;About my team;;About my team;
Absence;;no;yes;no;;Absence;;Absence;
Accept;;no;yes;no;;Accept;;Accept;
Accepted;;no;yes;no;;Accepted;;Accepted;
Account;;no;yes;no;;Account;;Account;
Achievement;;no;yes;no;;Achievement;;Achievement;
Achievement summary;;no;yes;no;;Achievement summary;;Achievement summary;
Action;;no;yes;no;;Action;;Action;
Action required;;no;yes;no;;Action required;;Action required;
Actions;;no;yes;no;;Actions;;Actions;
Actions required;;no;yes;no;;Actions required;;Actions required;
Activate;;no;yes;no;;Activate;;Activate;
Active;;no;yes;no;;Active;;Active;
Active users;;no;yes;no;;Active users;;Active users;
Actor;;no;yes;no;;Actor;;Actor;
Add;;no;yes;no;;Add;;Add;
Add all;;no;yes;no;;Add all;;Add all;
Add all company;;no;yes;no;;Add all company;;Add all company;
Add all organizational units;;no;yes;no;;Add all organizational units;;Add all organisational units;
Add condition;;no;yes;no;;Add condition;;Add condition;
Add feedback note;;no;yes;no;;Add feedback note;;Add feedback note;
Add field;;no;yes;no;;Add field;;Add field;
Add mapping;;no;yes;no;;Add mapping;;Add mapping;
Add note;;no;yes;no;;Add note;;Add note;
Add question;;no;yes;no;;Add question;;Add question;
Add skills;;no;yes;no;;Add skills;;Add skills;
Add step;;no;yes;no;;Add step;;Add step;
Addition;;no;yes;no;;Addition;;Addition;
Additional Managers;;no;yes;no;;Additional Managers;;Additional Managers;
Additional goal description;;no;yes;no;;Additional goal description;;Additional goal description;
Additional information;;no;yes;no;;Additional information;;Additional information;
Additional manager;;no;yes;no;;Additional manager;;Additional manager;
Additional managers;;no;yes;no;;Additional managers;;Additional managers;
Additional review;;no;yes;no;;Additional review;;Additional review;
Administration;;no;yes;no;;Administration;;Administration;
Advanced;;no;yes;no;;Advanced;;Advanced;
After;;no;yes;no;;After;;After;
Agenda;;no;yes;no;;Agenda;;Agenda;
Alert;;no;yes;no;;Alert;;Alert;
Alerts;;no;yes;no;;Alerts;;Alerts;
Aligned with goal;;no;yes;no;;Aligned with goal;;Aligned with goal;
Alignment;;no;yes;no;;Alignment;;Alignment;
All company;;no;yes;no;;All company;;All company;
All criteria;;no;yes;no;;All criteria;;All criteria;
All locations;;no;yes;no;;All locations;;All locations;
All organizational units;;no;yes;no;;All organizational units;;All organisational units;
All participants;;no;yes;no;;All participants;;All participants;
All results;;no;yes;no;;All results;;All results;
All roles;;no;yes;no;;All roles;;All roles;
All updates;;no;yes;no;;All updates;;All updates;
Analyses;;no;yes;no;;Analyses;;Analyses;
Analysis;;no;yes;no;;Analysis;;Analysis;
Analytics;;no;yes;no;;Analytics;;Analytics;
Anonymization;;no;yes;no;;Anonymization;;Anonymisation;
Answer type;;no;yes;no;;Answer type;;Answer type;
Anyone;;no;yes;no;;Anyone;;Anyone;
Anyone in the company;;no;yes;no;;Anyone in the company;;Anyone in the company;
Appearance;;no;yes;no;;Appearance;;Appearance;
Apply;;no;yes;no;;Apply;;Apply;
Apply filters;;no;yes;no;;Apply filters;;Apply filters;
Approve;;no;yes;no;;Approve;;Approve;
Approved;;no;yes;no;;Approved;;Approved;
Archived;;no;yes;no;;Archived;;Archived;
Assign;;no;yes;no;;Assign;;Assign;
Assign to;;no;yes;no;;Assign to;;Assign to;
Assigned;;no;yes;no;;Assigned;;Assigned;
Assigned reviews;;no;yes;no;;Assigned reviews;;Assigned reviews;
Assigned to;;no;yes;no;;Assigned to;;Assigned to;
Assignment;;no;yes;no;;Assignment;;Assignment;
Assignment permissions;;no;yes;no;;Assignment permissions;;Assignment permissions;
At least one number;;no;yes;no;;At least one number;;At least one number;
At risk;;no;yes;no;;At risk;;At risk;
Attached document;;no;yes;no;;Attached document;;Attached document;
Attachments;;no;yes;no;;Attachments;;Attachments;
Audit;;no;yes;no;;Audit;;Audit;
Audit trail;;no;yes;no;;Audit trail;;Audit trail;
Auto-suggestion;;no;yes;no;;Auto-suggestion;;Auto-suggestion;
Available;;no;yes;no;;Available;;Available;
Average score;;no;yes;no;;Average score;;Average score;
Average total score;;no;yes;no;;Average total score;;Average total score;
Avg. word count;;no;yes;no;;Avg. word count;;Avg. word count;
Back;;no;yes;no;;Back;;Back;
Basic Information;;no;yes;no;;Basic Information;;Basic Information;
Basic information;;no;yes;no;;Basic information;;Basic information;
Before;;no;yes;no;;Before;;Before;
Behavior;;no;yes;no;;Behavior;;Behaviour;
Behavior libraries;;no;yes;no;;Behavior libraries;;Behaviour libraries;
Behavior library;;no;yes;no;;Behavior library;;Behaviour library;
Behavior profile;;no;yes;no;;Behavior profile;;Behaviour profile;
Behavior wheel;;no;yes;no;;Behavior wheel;;Behaviour wheel;
Behaviors;;no;yes;no;;Behaviors;;Behaviours;
Behaviors sent;;no;yes;no;;Behaviors sent;;Behaviours sent;
Benchmarking;;no;yes;no;;Benchmarking;;Benchmarking;
Blank values;;no;yes;no;;Blank values;;Blank values;
Blocked;;no;yes;no;;Blocked;;Blocked;
Bonus;;no;yes;no;;Bonus;;Bonus;
Bonus Plans;;no;yes;no;;Bonus Plans;;Bonus Plans;
Bonus amount;;no;yes;no;;Bonus amount;;Bonus amount;
Bonus calculation equation;;no;yes;no;;Bonus calculation equation;;Bonus calculation equation;
Bonus calculation formula;;no;yes;no;;Bonus calculation formula;;Bonus calculation formula;
Bonus plan;;no;yes;no;;Bonus plan;;Bonus plan;
Bonus plans;;no;yes;no;;Bonus plans;;Bonus plans;
Boolean;;no;yes;no;;Boolean;;Boolean;
Budget;;no;yes;no;;Budget;;Budget;
Budget rule;;no;yes;no;;Budget rule;;Budget rule;
Builder;;no;yes;no;;Builder;;Builder;
Business;;no;yes;no;;Business;;Business;
Calculated;;no;yes;no;;Calculated;;Calculated;
Calculated bonus;;no;yes;no;;Calculated bonus;;Calculated bonus;
Calculated column;;no;yes;no;;Calculated column;;Calculated column;
Calculation;;no;yes;no;;Calculation;;Calculation;
Calculation workspace;;no;yes;no;;Calculation workspace;;Calculation workspace;
Calibration;;no;yes;no;;Calibration;;Calibration;
Can edit;;no;yes;no;;Can edit;;Can edit;
Can view;;no;yes;no;;Can view;;Can view;
Cancel;;no;yes;no;;Cancel;;Cancel;
Canceled;;no;yes;no;;Canceled;;Cancelled;
Career Development;;no;yes;no;;Career Development;;Career Development;
Career Development Plans;;no;yes;no;;Career Development Plans;;Career Development Plans;
Career Development Settings;;no;yes;no;;Career Development Settings;;Career Development Settings;
Career development;;no;yes;no;;Career development;;Career development;
Career development plan;;no;yes;no;;Career development plan;;Career development plan;
Career development plans;;no;yes;no;;Career development plans;;Career development plans;
Career development settings;;no;yes;no;;Career development settings;;Career development settings;
Career plan questionnaire;;no;yes;no;;Career plan questionnaire;;Career plan questionnaire;
Career plans;;no;yes;no;;Career plans;;Career plans;
Categories;;no;yes;no;;Categories;;Categories;
Category;;no;yes;no;;Category;;Category;
Challenge process;;no;yes;no;;Challenge process;;Challenge process;
Challenge review;;no;yes;no;;Challenge review;;Challenge review;
Challenged;;no;yes;no;;Challenged;;Challenged;
Change;;no;yes;no;;Change;;Change;
Change workflow step;;no;yes;no;;Change workflow step;;Change workflow step;
Chat;;no;yes;no;;Chat;;Chat;
Check-Ins;;no;yes;no;;Check-Ins;;Check-Ins;
Check-in;;no;yes;no;;Check-in;;Check-in;
Check-in Details;;no;yes;no;;Check-in Details;;Check-in Details;
Check-in Status;;no;yes;no;;Check-in Status;;Check-in Status;
Check-in date;;no;yes;no;;Check-in date;;Check-in date;
Check-in with;;no;yes;no;;Check-in with;;Check-in with;
Check-ins;;no;yes;no;;Check-ins;;Check-ins;
Check-ins created;;no;yes;no;;Check-ins created;;Check-ins created;
Choose one;;no;yes;no;;Choose one;;Choose one;
City;;no;yes;no;;City;;City;
Clear;;no;yes;no;;Clear;;Clear;
Clear all;;no;yes;no;;Clear all;;Clear all;
Clear all filters;;no;yes;no;;Clear all filters;;Clear all filters;
Clear all filters & search;;no;yes;no;;Clear all filters & search;;Clear all filters & search;
Clear all filters and search;;no;yes;no;;Clear all filters and search;;Clear all filters and search;
Clear filters;;no;yes;no;;Clear filters;;Clear filters;
Clear search;;no;yes;no;;Clear search;;Clear search;
Close;;no;yes;no;;Close;;Close;
Closed;;no;yes;no;;Closed;;Closed;
Closed without document;;no;yes;no;;Closed without document;;Closed without document;
Code;;no;yes;no;;Code;;Code;
Collaborative;;no;yes;no;;Collaborative;;Collaborative;
Collapse;;no;yes;no;;Collapse;;Collapse;
Color;;no;yes;no;;Color;;Colour;
Column name;;no;yes;no;;Column name;;Column name;
Columns;;no;yes;no;;Columns;;Columns;
Coming soon;;no;yes;no;;Coming soon;;Coming soon;
Comm manager;;no;yes;no;;Comm manager;;Comm manager;
Comm round;;no;yes;no;;Comm round;;Comm round;
Comment;;no;yes;no;;Comment;;Comment;
Comments;;no;yes;no;;Comments;;Comments;
Communication;;no;yes;no;;Communication;;Communication;
Communication Rounds;;no;yes;no;;Communication Rounds;;Communication Rounds;
Communication manager;;no;yes;no;;Communication manager;;Communication manager;
Communication manager name;;no;yes;no;;Communication manager name;;Communication manager name;
Communication round;;no;yes;no;;Communication round;;Communication round;
Communication rounds;;no;yes;no;;Communication rounds;;Communication rounds;
Comp Rounds;;no;yes;no;;Comp Rounds;;Comp Rounds;
Comp element;;no;yes;no;;Comp element;;Comp element;
Comp elements;;no;yes;no;;Comp elements;;Comp elements;
Comp manager;;no;yes;no;;Comp manager;;Comp manager;
Comp managers;;no;yes;no;;Comp managers;;Comp managers;
Comp round;;no;yes;no;;Comp round;;Comp round;
Comp round currency;;no;yes;no;;Comp round currency;;Comp round currency;
Comp rounds;;no;yes;no;;Comp rounds;;Comp rounds;
Comp tree;;no;yes;no;;Comp tree;;Comp tree;
Company;;no;yes;no;;Company;;Company;
Company logo;;no;yes;no;;Company logo;;Company logo;
Company name;;no;yes;no;;Company name;;Company name;
Compare;;no;yes;no;;Compare;;Compare;
Compensation;;no;yes;no;;Compensation;;Compensation;
Compensation Element;;no;yes;no;;Compensation Element;;Compensation Element;
Compensation History;;no;yes;no;;Compensation History;;Compensation History;
Compensation Management;;no;yes;no;;Compensation Management;;Compensation Management;
Compensation Rounds;;no;yes;no;;Compensation Rounds;;Compensation Rounds;
Compensation element;;no;yes;no;;Compensation element;;Compensation element;
Compensation elements;;no;yes;no;;Compensation elements;;Compensation elements;
Compensation field;;no;yes;no;;Compensation field;;Compensation field;
Compensation framework;;no;yes;no;;Compensation framework;;Compensation framework;
Compensation history;;no;yes;no;;Compensation history;;Compensation history;
Compensation manager;;no;yes;no;;Compensation manager;;Compensation manager;
Compensation philosophy;;no;yes;no;;Compensation philosophy;;Compensation philosophy;
Compensation rounds;;no;yes;no;;Compensation rounds;;Compensation rounds;
Competency Scales;;no;yes;no;;Competency Scales;;Competency Scales;
Competency scale;;no;yes;no;;Competency scale;;Competency scale;
Complete;;no;yes;no;;Complete;;Complete;
Completed;;no;yes;no;;Completed;;Completed;
Completion;;no;yes;no;;Completion;;Completion;
Completion rate;;no;yes;no;;Completion rate;;Completion rate;
