term;description;casesensitive;translatable;forbidden;tags;en-US;en-US_description;fr_FR;fr_FR_description
About;;no;yes;no;;About;;A propos;
About my team;;no;yes;no;;About my team;;Sur mon équipe;
Accept;;no;yes;no;;Accept;;Accepter;
Accepted;;no;yes;no;;Accepted;;Accepté;
Account;;no;yes;no;;Account;;Compte;
Achievement;;no;yes;no;;Achievement;;Réussite;
Achievement summary;;no;yes;no;;Achievement summary;;Résumé des réalisations;
Action required;;no;yes;no;;Action required;;Action requise;
Actions required;;no;yes;no;;Actions required;;Actions requises;
Activate;;no;yes;no;;Activate;;Activer;
Active users;;no;yes;no;;Active users;;Utilisateurs actifs;
Actor;;no;yes;no;;Actor;;Acteur;
Add;;no;yes;no;;Add;;Ajouter;
Add all;;no;yes;no;;Add all;;Ajouter tout;
Add all company;;no;yes;no;;Add all company;;Ajouter toute l'entreprise;
Add all organizational units;;no;yes;no;;Add all organizational units;;Ajouter toutes les unités organisationnelles;
Add condition;;no;yes;no;;Add condition;;Ajouter une condition;
Add feedback note;;no;yes;no;;Add feedback note;;Ajouter une note de feedback;
Add field;;no;yes;no;;Add field;;Ajouter un champ;
Add mapping;;no;yes;no;;Add mapping;;Ajouter un mappage;
Add note;;no;yes;no;;Add note;;Ajouter une note;
Add question;;no;yes;no;;Add question;;Ajouter une question;
Add skills;;no;yes;no;;Add skills;;Ajouter des compétences;
Add step;;no;yes;no;;Add step;;Ajouter une étape;
Addition;;no;yes;no;;Addition;;Ajout;
Additional Managers;;no;yes;no;;Additional Managers;;Managers supplémentaires;
Additional goal description;;no;yes;no;;Additional goal description;;Description supplémentaire de l'objectif;
Additional information;;no;yes;no;;Additional information;;Informations supplémentaires;
Additional manager;;no;yes;no;;Additional manager;;Manager supplémentaire;
Additional managers;;no;yes;no;;Additional managers;;Managers supplémentaires;
Additional review;;no;yes;no;;Additional review;;Bilan supplémentaire;
Advanced;;no;yes;no;;Advanced;;Avancé;
After;;no;yes;no;;After;;Ultérieur à;
Agenda;;no;yes;no;;Agenda;;Ordre du jour;
Alert;;no;yes;no;;Alert;;Alerte;
Alerts;;no;yes;no;;Alerts;;Alertes;
